file_path,file_name,exercise_type,label_main,error_tags,expected_reps,subject_id,camera_view,occlusion_level,clip_source,source_video,split,notes,split_group,label_group,size_bytes,sha256,duplicate_hash_group,basename_conflict_group,issue_flags
dataset/Pushup/gerakan_benar/psmix1_part_0.mp4,psmix1_part_0.mp4,push_up,benar,,,,,,psmix1,dataset/Pushup/psmix1.mp4,,,psmix1,gerakan_benar,8351562,112e7c3a46873344e55ecdefdf2645e6ed8df682458adccffd1e9b8ab4b43275,,,split_group_multi_label
dataset/Pushup/gerakan_benar/psmix2_part_2.mp4,psmix2_part_2.mp4,push_up,benar,,,,,,psmix2,dataset/Pushup/psmix2.mp4,,,psmix2,gerakan_benar,4466249,3fd11872156da51ef98edf803eda5b192db1000a55c0a15de68c1a032d6c8141,,,split_group_multi_label
dataset/Pushup/gerakan_benar/push-up_1.mp4,push-up_1.mp4,push_up,benar,,,,,,,,,,push-up_1,gerakan_benar,635823,c06035ee317dbcf5f9b50f16a8f896f0bab4b13679e3b441626fe4a16497b072,,,
dataset/Pushup/gerakan_benar/push-up_2.mp4,push-up_2.mp4,push_up,benar,,,,,,,,,,push-up_2,gerakan_benar,642232,71ad0b80c9aa1f7dcc49217eca283bfb23cad1280a57be3012ca5e9e39239e47,,,
dataset/Pushup/gerakan_benar/push-up_3.mp4,push-up_3.mp4,push_up,benar,,,,,,,,,,push-up_3,gerakan_benar,640915,744bdaf974d159777cab8eadbd3aa7806b6efbed49ec8965ceb716bf1157aaf4,,,
dataset/Pushup/gerakan_benar/push-up_4.mp4,push-up_4.mp4,push_up,benar,,,,,,,,,,push-up_4,gerakan_benar,637176,929c1fcbc9064e6d8e1f0a2823c3b42b3485c27357c7440f0bcddbfbd61c901d,,,
dataset/Pushup/gerakan_benar/push-up_42.mp4,push-up_42.mp4,push_up,benar,,,,,,,,,,push-up_42,gerakan_benar,636961,814a9339a194987c77f19189fded3b6c8b4bf28273d90a46021c6fa5b18702c0,,,
dataset/Pushup/gerakan_benar/push-up_44.mp4,push-up_44.mp4,push_up,benar,,,,,,,,,,push-up_44,gerakan_benar,477723,75b5b22730f86cf06244a874047bd291b81dfcf811c471ec672c7691be4ad87b,,,
dataset/Pushup/gerakan_benar/push-up_45.mp4,push-up_45.mp4,push_up,benar,,,,,,,,,,push-up_45,gerakan_benar,643042,d397e191d20d1f8cde5d407e3225d77d9fb01a3282cf601da432441917a63271,,,
dataset/Pushup/gerakan_benar/push-up_47.mp4,push-up_47.mp4,push_up,benar,,,,,,,,,,push-up_47,gerakan_benar,450098,608a6c3eed199f3acc5d2846571da61a1bfda317bf07dae6f2488c41383502a0,,,
dataset/Pushup/gerakan_benar/push-up_48.mp4,push-up_48.mp4,push_up,benar,,,,,,,,,,push-up_48,gerakan_benar,639501,e81674b272776d63d39c0dac12e03dbfe78f6fb50958313b7f33531bc96a6ac3,,,
dataset/Pushup/gerakan_benar/push-up_5.mp4,push-up_5.mp4,push_up,benar,,,,,,,,,,push-up_5,gerakan_benar,637905,39c90481623f282d66542259b1ca7545120d0b8aff27853420a66dba029b0c07,,,
dataset/Pushup/gerakan_benar/push-up_50.mp4,push-up_50.mp4,push_up,benar,,,,,,,,,,push-up_50,gerakan_benar,643884,754dd554be7d7a01bf5c9186a12f9e4bc2a7f0a8d47d711c925056e584fedc31,,,
